Stu Strm Ldesc,Ag Area Sdesc,Cla Subject Ldesc,Cla Catalog Nbr,Cla Class Section,Cla Instructor Name,Official Enrollmt,Grades Received,Grades Pct of Enrolled,gpa,A,A-,B+,B,B- ,C+,C,C- ,D+,D,D- ,"F, F+",W,Cr,Nc,Other
Fall 2016,L&S,Japanese, 499,Course Total,Course Total,8,7,87.5%,3.734,4,,,,1,,,,,,,,1,,,2
Fall 2016,L&S,Jewish Studies, 101,001,"Baum,Rachel N",24,24,100.0%,3.317,13,,,1,1,3,,1,,,,1,,,,4
Fall 2016,L&S,Jewish Studies, 101,Course Total,Course Total,24,24,100.0%,3.317,13,,,1,1,3,,1,,,,1,,,,4
Fall 2016,L&S,Jewish Studies, 261,001,"Baum,Rachel N",31,31,100.0%,3.356,19,2,,2,,,4,2,,,,1,,,,1
Fall 2016,L&S,Jewish Studies, 261,201,"Baum,Rachel N",23,23,100.0%,3.724,18,1,2,,,,1,,1,,,,,,,
Fall 2016,L&S,Jewish Studies, 261,Course Total,Course Total,54,54,100.0%,3.516,37,3,2,2,,,5,2,1,,,1,,,,1
Fall 2016,L&S,Jewish Studies, 379,001,"Silverman,Lisa D",6,6,100.0%,2.532,,1,2,,,1,,,,,,1,,,,1
Fall 2016,L&S,Jewish Studies, 379,Course Total,Course Total,6,6,100.0%,2.532,,1,2,,,1,,,,,,1,,,,1
Fall 2016,L&S,Jrnalism/Advertising/Media Std, 101,401,"Popp,Richard K",242,234,96.7%,2.360,21,19,25,45,17,21,23,13,6,9,2,33,5,,,
Fall 2016,L&S,Jrnalism/Advertising/Media Std, 101,Course Total,Course Total,242,234,96.7%,2.360,21,19,25,45,17,21,23,13,6,9,2,33,5,,,
Fall 2016,L&S,Jrnalism/Advertising/Media Std, 111,001,"Lohman,Eric Ross",156,154,98.7%,2.695,23,15,32,28,13,10,3,3,1,1,5,19,2,,1,
Fall 2016,L&S,Jrnalism/Advertising/Media Std, 111,Course Total,Course Total,156,154,98.7%,2.695,23,15,32,28,13,10,3,3,1,1,5,19,2,,1,
Fall 2016,L&S,Jrnalism/Advertising/Media Std, 113,201,"Tasman,Marc A",135,128,94.8%,2.867,26,17,14,26,12,7,8,3,3,2,1,9,4,,,
Fall 2016,L&S,Jrnalism/Advertising/Media Std, 113,Course Total,Course Total,135,128,94.8%,2.867,26,17,14,26,12,7,8,3,3,2,1,9,4,,,
Fall 2016,L&S,Jrnalism/Advertising/Media Std, 116,201,"Smith,Jeffery A",24,19,79.2%,2.737,3,4,4,1,2,1,,,1,,,3,1,,,
Fall 2016,L&S,Jrnalism/Advertising/Media Std, 116,Course Total,Course Total,24,19,79.2%,2.737,3,4,4,1,2,1,,,1,,,3,1,,,
Fall 2016,L&S,Jrnalism/Advertising/Media Std, 201,401,"Allen,David S",121,111,91.7%,2.799,22,16,10,23,7,7,4,5,3,5,2,7,3,,,
Fall 2016,L&S,Jrnalism/Advertising/Media Std, 201,Course Total,Course Total,121,111,91.7%,2.799,22,16,10,23,7,7,4,5,3,5,2,7,3,,,
